"id","totillog","totagg","F1","F2","F3","filter"
"5000",1,6,4,1,1,0
"5001",1,9,4,2,3,0
"5002",2,6,2,2,2,0
"5003",0,2,1,0,1,0
"5004",0,5,3,1,1,0
"5005",0,0,0,0,0,0
"5006",0,5,3,1,1,0
"5007",0,7,3,1,3,0
"5008",0,0,0,0,0,0
"5009",0,7,3,2,2,0
"5010",0,6,2,1,3,0
"    ",0,0,0,0,0,0
"5012",0,4,2,0,2,0
"5018",2,3,2,0,1,0
"5022",0,3,0,1,2,0
"5021",0,1,0,1,0,0
"5020",0,5,3,1,1,0
"5023",0,3,0,1,2,0
"5019",0,6,4,1,1,0
"5013",0,5,2,1,2,0
"5014",2,6,3,1,2,0
"    ",0,0,0,0,0,0
"5016",0,1,1,0,0,0
"5017",0,3,1,1,1,0
"5024",0,3,3,0,0,0
"5025",1,1,1,0,0,0
"5026",0,6,2,1,3,0
"5027",0,3,3,0,0,0
"5032",0,5,1,3,1,0
"5033",0,7,3,3,1,0
"5035",1,8,5,1,2,0
"5036",0,2,1,0,1,0
"5015",0,4,2,1,1,0
"5039",0,3,1,0,2,0
"5038",2,3,1,1,1,0
"5040",2,1,0,0,1,0
"5037",2,4,2,1,1,0
"5041",2,3,2,0,1,0
"    ",0,0,0,0,0,0
"5043",2,4,3,0,1,0
"5044",1,9,5,1,3,0
"5045",1,6,1,1,4,0
"5030",1,3,1,0,2,0
"5031",1,8,3,1,4,0
"5029",2,7,4,2,1,0
"5011",1,2,0,2,0,0
"5053",0,5,4,0,1,0
"5054",0,5,3,0,2,0
"5052",0,6,3,2,1,0
"5050",0,4,2,1,1,0
"5028",0,3,2,0,1,0
"5046",1,2,0,0,2,0
"5047",1,2,0,0,2,0
"5034",1,10,4,2,4,0
"5042",1,9,2,3,4,0
"5048",0,0,0,0,0,0
"5049",1,7,3,1,3,0
"5055",0,3,2,1,0,0
"5056",0,6,5,0,1,0
"5057",0,3,2,0,1,0
"5058",1,1,1,0,0,0
"5060",4,3,0,1,2,0
"5061",3,7,4,3,0,0
"5062",0,8,6,0,2,0
"5065",1,2,0,1,1,0
"5063",0,3,3,0,0,0
"5059",0,0,0,0,0,0
"5066",0,6,2,1,3,0
"5064",0,2,1,0,1,0
"5068",0,5,3,1,1,0
"5070",0,3,1,1,1,0
"5071",1,4,2,1,1,0
"5069",0,7,3,1,3,0
"5067",1,1,1,0,0,0
"5073",0,4,1,0,3,0
"5075",0,2,1,0,1,0
"5077",0,5,2,0,3,0
"5074",0,3,2,0,1,0
"5076",1,1,0,1,0,0
"5072",7,5,2,1,2,1
"5078",0,6,1,2,3,0
"5079",2,2,2,0,0,0
"5080",0,5,2,1,2,0
"5081",0,5,3,0,2,0
"5084",0,3,1,1,1,0
"5085",0,7,4,1,2,0
"5087",0,6,3,1,2,0
"5083",0,0,0,0,0,0
"5082",0,0,0,0,0,0
"5088",1,4,1,1,2,0
"5089",0,3,1,1,1,0
"5086",2,4,2,1,1,0
"6090",1,2,1,0,1,0
"5096",0,10,7,1,2,0
"5097",0,4,2,1,1,0
"5098",0,4,2,1,1,0
"5099",0,10,5,2,3,0
"5100",1,6,2,2,2,0
"5092",0,7,4,0,3,0
"5093",1,2,1,0,1,0
"5094",1,7,4,3,0,0
"5101",1,6,3,0,3,0
"5103",0,7,2,1,4,0
"5104",1,0,0,0,0,0
"5105",0,0,0,0,0,0
"5108",1,6,3,1,2,0
"5109",0,3,3,0,0,0
"5112",1,8,5,0,3,0
"5111",0,6,3,2,1,0
"5107",0,7,4,2,1,0
"5102",0,7,1,3,3,0
"5106",0,2,1,0,1,0
"5115",0,4,1,1,2,0
"5116",0,0,0,0,0,0
"5117",0,6,3,0,3,0
"5118",0,4,2,0,2,0
"5119",0,5,2,0,3,0
"5121",0,5,2,1,2,0
"5126",2,6,3,2,1,0
"5123",1,2,0,1,1,0
"5122",0,4,3,0,1,0
"5113",0,4,1,1,2,0
"5114",0,0,0,0,0,0
"5127",0,0,0,0,0,0
"5128",0,4,2,1,1,0
"5129",0,6,4,0,2,0
"5131",0,5,4,0,1,0
"5132",0,6,4,0,2,0
"5130",0,4,3,0,1,0
"5133",0,4,1,0,3,0
"5138",1,5,2,0,3,0
"5137",1,2,0,1,1,0
"5136",0,3,2,0,1,0
"5134",0,0,0,0,0,0
"5135",0,0,0,0,0,0
"5142",0,2,0,1,1,0
"5134",0,7,2,2,3,0
"5140",1,4,0,2,2,0
"5143",0,2,0,0,2,0
"5144",2,9,4,2,3,0
"5147",0,0,0,0,0,0
"5139",0,0,0,0,0,0
"5245",0,7,5,1,1,0
"5146",0,6,3,0,3,0
"5141",0,7,1,2,4,0
"5135",0,0,0,0,0,0
"    ",0,0,0,0,0,0
"5154",0,4,2,0,2,0
"5155",0,4,2,1,1,0
"5156",0,9,5,2,2,0
"5157",0,3,1,0,2,0
"5158",0,8,3,1,4,0
"3021",0,4,2,0,2,0
"5172",1,10,4,4,2,0
"5174",0,1,1,0,0,0
"5171",0,3,2,0,1,0
"5173",0,10,3,3,4,0
"5170",1,3,1,1,1,0
"5169",1,4,4,0,0,0
"5168",0,6,3,2,1,0
"5167",1,8,3,2,3,0
"5139",2,10,6,1,3,0
"5163",0,3,2,0,1,0
"5175",1,7,5,1,1,0
"5176",0,4,2,0,2,0
"5177",0,5,2,0,3,0
"5178",0,2,2,0,0,0
"5179",0,3,2,0,1,0
"5189",0,10,4,2,4,0
"5181",1,8,3,2,3,0
"5182",0,1,1,0,0,0
"5183",0,6,2,3,1,0
"5184",0,4,3,0,1,0
"5185",0,1,0,0,1,0
"5187",1,4,0,2,2,0
"5202",0,2,0,1,1,0
"5200",0,2,2,0,0,0
"5201",0,4,1,1,2,0
"5197",0,2,2,0,0,0
"5199",0,2,0,1,1,0
"5198",1,6,4,2,0,0
"5204",0,7,3,2,2,0
"5205",1,5,4,1,0,0
"5206",0,1,0,0,1,0
"5207",0,4,2,1,1,0
"5208",1,9,5,2,2,0
"5209",2,7,4,1,2,0
"5210",0,1,0,0,1,0
"5211",2,7,2,1,4,0
"5219",4,5,3,1,1,0
"5212",1,6,3,1,2,0
"5213",0,6,3,1,2,0
"5215",0,2,1,1,0,0
"5216",0,5,3,0,2,0
"5218",0,4,1,1,2,0
"5229",1,5,3,1,1,0
"5230",3,9,3,3,3,0
"5231",0,5,1,3,1,0
"5232",0,6,1,1,4,0
"5233",6,5,4,1,0,1
"5234",1,4,2,0,2,0
"5227",1,4,3,0,1,0
"5242",0,3,1,0,2,0
"5244",0,4,1,1,2,0
"5228",0,2,2,0,0,0
"5243",0,11,7,1,3,0
"5241",1,5,2,1,2,0
"5238",0,8,2,3,3,0
"5239",0,5,2,2,1,0
"5237",0,5,2,0,3,0
"5238",0,9,3,3,3,0
"5217",1,6,2,2,2,0
"    ",0,0,0,0,0,0
"5246",0,4,1,1,2,0
"5247",0,5,3,0,2,0
"5250",0,5,2,0,3,0
"5252",1,4,3,0,1,0
"5261",1,2,2,0,0,0
"5262",0,4,1,1,2,0
"5263",0,7,5,0,2,0
"5264",0,8,4,1,3,0
"5265",0,6,3,1,2,0
"5266",3,7,3,1,3,0
"5267",1,3,1,0,2,0
"    ",0,0,0,0,0,0
"5277",0,2,1,0,1,0
"5280",1,4,1,0,3,0
"5279",0,10,3,2,5,0
"5284",0,9,5,1,3,0
"5278",2,7,4,1,2,0
"5281",0,6,3,1,2,0
"5252",1,4,3,0,1,0
"5250",0,5,2,0,3,0
"5247",0,5,3,0,2,0
"5249",0,4,1,1,2,0
"5248",1,9,5,2,2,0
"5246",0,3,1,1,1,0
"5289",0,1,0,1,0,0
"5290",0,4,1,1,2,0
"5291",0,4,2,1,1,0
"5292",1,5,2,2,1,0
"5294",0,2,1,0,1,0
"5295",0,7,5,0,2,0
"5296",0,3,2,0,1,0
"5297",0,5,0,2,3,0
"5298",0,4,3,0,1,0
"5299",1,5,3,1,1,0
"5301",0,9,6,0,3,0
"5302",3,7,4,0,3,0
"5303",0,7,6,0,1,0
"5304",1,4,3,1,0,0
"5285",1,7,3,2,2,0
"5268",0,5,3,1,1,0
"5282",1,7,4,1,2,0
"5250",0,6,2,1,3,0
"5288",1,6,1,2,3,0
"    ",0,0,0,0,0,0
"5305",0,4,2,0,2,0
"5309",1,4,2,0,2,0
"5306",1,5,2,0,3,0
"5307",0,4,1,0,3,0
"5308",0,8,5,1,2,0
"5310",0,1,0,1,0,0
"5311",1,8,4,1,3,0
"    ",0,0,0,0,0,0
"5288",2,5,1,2,2,0
"5250",0,6,2,1,3,0
"5282",1,7,4,1,2,0
"5285",1,7,3,2,2,0
"5268",0,5,3,1,1,0
"    ",0,0,0,0,0,0
"5268",2,4,1,1,2,0
"5282",1,5,2,1,2,0
"5285",0,1,0,1,0,0
"5286",1,4,2,0,2,0
"5287",0,0,0,0,0,0
"5288",1,4,1,1,2,0
"5289",0,7,6,1,0,0
